#FORMAT=WebAnno TSV 3.3


#Text=1190422;380942921;386165280;NULL;2020-01-06;"De CD is klaar.
1-1	0-7	1190422	
1-2	7-8	;	
1-3	8-17	380942921	
1-4	17-18	;	
1-5	18-27	386165280	
1-6	27-28	;	
1-7	28-32	NULL	
1-8	32-33	;	
1-9	33-37	2020	
1-10	37-38	-	
1-11	38-40	01	
1-12	40-41	-	
1-13	41-43	06	
1-14	43-44	;	
1-15	44-45	"	
1-16	45-47	De	
1-17	48-50	CD	
1-18	51-53	is	
1-19	54-59	klaar	
1-20	59-60	.	

#Text=U kunt hem ophalen tussen 08:30 uur en 16:30 uur op B1 - 217.1  ";;
2-1	61-62	U	
2-2	63-67	kunt	
2-3	68-71	hem	
2-4	72-79	ophalen	
2-5	80-86	tussen	
2-6	87-89	08	
2-7	89-90	:	
2-8	90-92	30	
2-9	93-96	uur	
2-10	97-99	en	
2-11	100-102	16	
2-12	102-103	:	
2-13	103-105	30	
2-14	106-109	uur	
2-15	110-112	op	
2-16	113-115	B1	
2-17	116-117	-	
2-18	118-123	217.1	
2-19	125-126	"	
2-20	126-127	;	
2-21	127-128	;	
